,id,f1_score,precision,recall,accuracy,cross_entropy,seed,circuit,learning_rate,loss_history,avg_epoch_time_seconds,network_str,model_path,epochs,n_qubits,features_per_qubit,scaler
10,10,0.9943865276663993,0.998389694041868,0.9904153354632588,0.9942528735632183,0.014335926622152328,5,Senokosov2024Circuit,0.01,"[0.14649424786483378, 0.023571130320258243, 0.02183818704667685, 0.019837040329500604, 0.019084577886180915, 0.019031468283126168, 0.01981308079657059, 0.017114305399158376, 0.01613317924305815, 0.014248108051201837]",117.26940140724182,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): Senokosov2024Circuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/Senokosov2024Circuit_expID_1_dfID_10.pth,10,4,4,MinMaxScaler
11,11,0.9927710843373494,0.9983844911147012,0.987220447284345,0.9926108374384236,0.024155093356966972,5,Senokosov2024Circuit,0.001,"[0.5741723446469558, 0.23944293487032778, 0.1001973033907186, 0.05896223489636261, 0.04378859125273792, 0.03557008703692669, 0.030356318936499423, 0.026998086991768918, 0.02475747938182107, 0.02298923217274837]",117.15623426437378,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): Senokosov2024Circuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/Senokosov2024Circuit_expID_1_dfID_11.pth,10,4,4,MinMaxScaler
12,12,0.9935897435897436,0.9967845659163987,0.9904153354632588,0.993431855500821,0.01857839711010456,5,Anusha2024Circuit,0.01,"[0.12168366061278472, 0.0353740631376001, 0.03000247536156645, 0.024557010759676097, 0.022960660959238578, 0.023067070730719837, 0.02364481965502675, 0.02137068635075641, 0.021584924617567787, 0.02346387244161681]",47.42092311382294,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): Anusha2024Circuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/Anusha2024Circuit_expID_1_dfID_12.pth,10,4,4,MinMaxScaler
13,13,0.9935794542536116,0.9983870967741936,0.9888178913738019,0.993431855500821,0.040030814707279205,5,Anusha2024Circuit,0.001,"[0.38756552564078256, 0.19574705584857024, 0.1347935061509672, 0.10242987665543823, 0.08203584878509373, 0.06816842558940775, 0.05809177410494732, 0.05066252738776568, 0.044955687168495434, 0.040411330382707285]",47.38448293209076,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): Anusha2024Circuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/Anusha2024Circuit_expID_1_dfID_13.pth,10,4,4,MinMaxScaler
14,14,0.9951845906902087,1.0,0.9904153354632588,0.9950738916256158,0.015053958632051945,5,DoubleEntanglementVLCircuit,0.01,"[0.1314447314086321, 0.02872699649934044, 0.023267720849329827, 0.019929570135374025, 0.01943243306595832, 0.018765122453547327, 0.019088869813793662, 0.016640601918353287, 0.015961890931736746, 0.015146871981031788]",69.04219703674316,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): DoubleEntanglementVLCircuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/DoubleEntanglementVLCircuit_expID_1_dfID_14.pth,10,4,4,MinMaxScaler
15,15,0.9927826784282278,0.9967793880837359,0.9888178913738019,0.9926108374384236,0.032646652311086655,5,DoubleEntanglementVLCircuit,0.001,"[0.46830791950617967, 0.20803631631363378, 0.13348222251883463, 0.09686928559829922, 0.0747527027453639, 0.06025175904659064, 0.050096986245511003, 0.04274298144063275, 0.03727075972557558, 0.03287517371293353]",69.06853501796722,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): DoubleEntanglementVLCircuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/DoubleEntanglementVLCircuit_expID_1_dfID_15.pth,10,4,4,MinMaxScaler
16,16,0.9951923076923077,0.9983922829581994,0.9920127795527156,0.9950738916256158,0.012995460070669651,6,Ranga2024Circuit,0.01,"[0.09843466289059602, 0.028392165338645053, 0.02638496455160509, 0.021381609960563333, 0.02034714448477883, 0.016619320995806975, 0.017327765148461606, 0.016062786000570907, 0.01321547167926359, 0.012861190010306401]",145.90156655311586,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): Ranga2024Circuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/Ranga2024Circuit_expID_1_dfID_16.pth,10,4,4,MinMaxScaler
17,17,0.9935794542536116,0.9983870967741936,0.9888178913738019,0.993431855500821,0.02367260865867138,6,Ranga2024Circuit,0.001,"[0.34250577137266336, 0.1455398906071327, 0.08883741959978483, 0.058633360932090955, 0.044603992713076114, 0.036066350726239184, 0.030751949369196632, 0.027260803536352653, 0.02479535351066213, 0.022859023249781642]",145.85912346839905,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): Ranga2024Circuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/Ranga2024Circuit_expID_1_dfID_17.pth,10,4,4,MinMaxScaler
18,18,0.9935794542536116,0.9983870967741936,0.9888178913738019,0.993431855500821,0.012362668290734291,6,Senokosov2024Circuit,0.01,"[0.15111556956483246, 0.025688433410036134, 0.020382755950681473, 0.021622610596272063, 0.01977451276597046, 0.018703971933159903, 0.01800969323219186, 0.015877468607389967, 0.015253595967710441, 0.013142560387438463]",117.16120312213897,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): Senokosov2024Circuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/Senokosov2024Circuit_expID_1_dfID_18.pth,10,4,4,MinMaxScaler
19,19,0.9935794542536116,0.9983870967741936,0.9888178913738019,0.993431855500821,0.025561297312378883,6,Senokosov2024Circuit,0.001,"[0.5722712863628802, 0.19079107524042851, 0.08885493921115994, 0.06011045532987306, 0.046275783893897346, 0.03800967294342914, 0.03273639858295945, 0.029083223552381816, 0.026355102316684725, 0.02434780126694884]",117.02519335746766,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): Senokosov2024Circuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/Senokosov2024Circuit_expID_1_dfID_19.pth,10,4,4,MinMaxScaler
20,20,0.9943865276663993,0.998389694041868,0.9904153354632588,0.9942528735632183,0.01758473925292492,6,Anusha2024Circuit,0.01,"[0.10866804774789336, 0.031075636551433587, 0.025969141542813497, 0.02545784269022988, 0.024340178145058945, 0.022161988641049613, 0.022392653291861183, 0.020136398967894677, 0.024040171662674862, 0.019786509911921855]",47.40511622428894,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): Anusha2024Circuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/Anusha2024Circuit_expID_1_dfID_20.pth,10,4,4,MinMaxScaler
21,21,0.9935794542536116,0.9983870967741936,0.9888178913738019,0.993431855500821,0.03387247398495674,6,Anusha2024Circuit,0.001,"[0.35859740197070333, 0.14540532513178492, 0.09986934777790386, 0.0764372613354537, 0.0619610391226352, 0.05215800111182034, 0.045288184921159165, 0.04017627389648145, 0.036188219548325594, 0.03307593252362782]",47.435310912132266,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): Anusha2024Circuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/Anusha2024Circuit_expID_1_dfID_21.pth,10,4,4,MinMaxScaler
22,22,0.9968051118210862,0.9968051118210862,0.9968051118210862,0.9967159277504105,0.010587286204099655,6,DoubleEntanglementVLCircuit,0.01,"[0.16241673720804484, 0.02855318027554619, 0.022303536521672197, 0.020966452081522317, 0.01716398260147176, 0.015263547684681774, 0.014088548435354727, 0.014016715884185703, 0.01211204945818616, 0.010627324522877308]",69.1536955833435,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): DoubleEntanglementVLCircuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/DoubleEntanglementVLCircuit_expID_1_dfID_22.pth,10,4,4,MinMaxScaler
23,23,0.9927826784282278,0.9967793880837359,0.9888178913738019,0.9926108374384236,0.027617286890745163,6,DoubleEntanglementVLCircuit,0.001,"[0.5668240756188568, 0.22833330213631453, 0.12212527668299644, 0.08338341032350927, 0.06347372281781741, 0.051243410954300905, 0.042771811394854205, 0.03592535263344057, 0.03054712317871714, 0.026840130371151884]",69.29013979434967,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): DoubleEntanglementVLCircuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/DoubleEntanglementVLCircuit_expID_1_dfID_23.pth,10,4,4,MinMaxScaler
24,24,0.994413407821229,0.9936204146730463,0.9952076677316294,0.9942528735632183,0.012123261578381062,7,Ranga2024Circuit,0.01,"[0.14402920651666232, 0.028480148354949626, 0.022568357326427327, 0.018208743310855136, 0.01434078284785899, 0.01423732465398069, 0.01434582947206907, 0.013507107199888867, 0.013102972827446616, 0.010976589241660182]",146.14020400047303,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): Ranga2024Circuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/Ranga2024Circuit_expID_1_dfID_24.pth,10,4,4,MinMaxScaler
25,25,0.9935794542536116,0.9983870967741936,0.9888178913738019,0.993431855500821,0.028378374874591827,7,Ranga2024Circuit,0.001,"[0.5194228972847524, 0.24018155494214674, 0.1254385193001087, 0.07613057100312098, 0.05470726151926149, 0.04392265377100557, 0.037506842146333506, 0.03347955527102673, 0.030404915258067808, 0.028090184955784168]",145.3579801797867,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): Ranga2024Circuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/Ranga2024Circuit_expID_1_dfID_25.pth,10,4,4,MinMaxScaler
26,26,0.9968,0.9983974358974359,0.9952076677316294,0.9967159277504105,0.01243497058749199,7,Senokosov2024Circuit,0.01,"[0.17037289913002351, 0.023847255617606845, 0.02051936799130329, 0.018888705506948388, 0.015947526307794953, 0.015174938451979725, 0.014500890652638381, 0.013444844180125265, 0.012409379242710298, 0.012891326763948248]",116.71767222881317,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): Senokosov2024Circuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/Senokosov2024Circuit_expID_1_dfID_26.pth,10,4,4,MinMaxScaler
27,27,0.9935794542536116,0.9983870967741936,0.9888178913738019,0.993431855500821,0.027574755251407623,7,Senokosov2024Circuit,0.001,"[0.6241929563448617, 0.3213490517809987, 0.16417334714022122, 0.1030231537542453, 0.07359392601555508, 0.055871593784295806, 0.04397229380341933, 0.03626834313801833, 0.030966926090370276, 0.027134823421396215]",116.78512618541717,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): Senokosov2024Circuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/Senokosov2024Circuit_expID_1_dfID_27.pth,10,4,4,MinMaxScaler
28,28,0.9951845906902087,1.0,0.9904153354632588,0.9950738916256158,0.017102964222431183,7,Anusha2024Circuit,0.01,"[0.13041121238462725, 0.03186259385486329, 0.02589871061392937, 0.024159828969890152, 0.021343386097118798, 0.021224206894418642, 0.02042544473959807, 0.019692904812760197, 0.018604044724366088, 0.016573946977587184]",47.11485340595245,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): Anusha2024Circuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/Anusha2024Circuit_expID_1_dfID_28.pth,10,4,4,MinMaxScaler
29,29,0.9935794542536116,0.9983870967741936,0.9888178913738019,0.993431855500821,0.034539733082056046,7,Anusha2024Circuit,0.001,"[0.45980788090903507, 0.2344568343342919, 0.148750157904272, 0.10512850094145458, 0.07982917920392203, 0.06367911340815849, 0.05270388501230627, 0.04522671598916579, 0.03956085668668445, 0.03534530464094132]",47.17153046131134,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): Anusha2024Circuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/Anusha2024Circuit_expID_1_dfID_29.pth,10,4,4,MinMaxScaler
30,30,0.9959967974379503,0.9983948635634029,0.9936102236421726,0.9958949096880131,0.01586328074336052,7,DoubleEntanglementVLCircuit,0.01,"[0.14868045649429978, 0.029276074117086336, 0.02357951768269566, 0.020752585044599408, 0.01703492196171091, 0.01638464165501462, 0.015171071996232249, 0.014447198901938177, 0.013975772855031354, 0.014049921442883237]",68.99121370315552,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): DoubleEntanglementVLCircuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/DoubleEntanglementVLCircuit_expID_1_dfID_30.pth,10,4,4,MinMaxScaler
31,31,0.9943775100401606,1.0,0.9888178913738019,0.9942528735632183,0.032879117876291275,7,DoubleEntanglementVLCircuit,0.001,"[0.5777417150767226, 0.253710546922919, 0.12950976938009262, 0.08887867742267094, 0.06808039037461736, 0.05511508377170876, 0.04630226108221043, 0.04030945292968107, 0.03574644347750827, 0.032197537994330845]",68.8054208278656,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): DoubleEntanglementVLCircuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/DoubleEntanglementVLCircuit_expID_1_dfID_31.pth,10,4,4,MinMaxScaler
32,32,0.9943775100401606,1.0,0.9888178913738019,0.9942528735632183,0.022430630400776863,8,Ranga2024Circuit,0.01,"[0.10148343735674739, 0.023959779200499486, 0.018086536870549407, 0.01702286620083645, 0.013574933304641346, 0.014471832179448316, 0.012234245219827388, 0.011924736632743972, 0.011499735553714249, 0.012245006631641636]",145.08728425502778,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): Ranga2024Circuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/Ranga2024Circuit_expID_1_dfID_32.pth,10,4,4,MinMaxScaler
33,33,0.9927710843373494,0.9983844911147012,0.987220447284345,0.9926108374384236,0.023299042135477066,8,Ranga2024Circuit,0.001,"[0.4288834125587815, 0.12391183516745896, 0.06965159620526001, 0.04996110856729118, 0.03931080658099075, 0.03292853651433497, 0.02861448526259904, 0.025744499652462668, 0.02329061640500042, 0.021360754782922174]",145.51584663391114,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): Ranga2024Circuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/Ranga2024Circuit_expID_1_dfID_33.pth,10,4,4,MinMaxScaler
